A, -59.13333333333333, 0
A, -59.5, 25
A, -65.86363636363636, 50
A, -70.58823529411765, 75
A, -70.92857142857143, 100
A, -70.06666666666666, 125
A, -76.41176470588235, 150
A, -74.5, 175
A, -70.41176470588235, 200
A, -75.82352941176471, 225
A, -73.38888888888889, 250
A, -74.6470588235294, 275
A, -76.0625, 300
A, -79.5, 325
A, -81.18181818181819, 350
B, -65.5625, 0
B, -56.473684210526315, 25
B, -62.44444444444444, 50
B, -65.68181818181819, 75
B, -68.88235294117646, 100
B, -66.29411764705883, 125
B, -69.63636363636364, 150
B, -68.71428571428571, 175
B, -65.8125, 200
B, -72.05555555555556, 225
B, -70.93333333333334, 250
B, -71.88235294117646, 275
B, -74.53333333333333, 300
B, -80.10526315789474, 325
B, -78.61111111111111, 350
C, -52.25, 0
C, -58.86666666666667, 25
C, -63.15, 50
C, -67.6, 75
C, -73.88888888888889, 100
C, -74.27272727272727, 125
C, -68.875, 150
C, -67.6875, 175
C, -67.15, 200
C, -72.41176470588235, 225
C, -73.86666666666666, 250
C, -74.27777777777777, 275
C, -77.04545454545455, 300
C, -85.3125, 325
C, -75.6470588235294, 350
