A, -50.1578947368421, 0
A, -75.3, 25
A, -76.11764705882354, 50
A, -80.6, 75
A, -85.84210526315789, 100
A, -87.28571428571429, 125
A, -80.54166666666667, 150
A, -80.3529411764706, 175
A, -84.76470588235294, 200
A, -87.5, 225
A, -91.36842105263158, 250
A, -85.64285714285714, 275
A, -85.78571428571429, 300
A, -86.82352941176471, 325
A, -88.58333333333333, 350
B, -54.95652173913044, 0
B, -70.0, 25
B, -78.3529411764706, 50
B, -80.3529411764706, 75
B, -79.33333333333333, 100
B, -81.63157894736842, 125
B, -84.0909090909091, 150
B, -81.6875, 175
B, -82.5, 200
B, -86.0625, 225
B, -86.66666666666667, 250
B, -91.53333333333333, 275
B, -90.61538461538461, 300
B, -91.10526315789474, 325
B, -91.05882352941177, 350
C, -59.3, 0
C, -68.72222222222223, 25
C, -69.72727272727273, 50
C, -79.3529411764706, 75
C, -86.82352941176471, 100
C, -81.3529411764706, 125
C, -85.29411764705883, 150
C, -79.875, 175
C, -79.0, 200
C, -84.47368421052632, 225
C, -87.76470588235294, 250
C, -82.46666666666667, 275
C, -88.36842105263158, 300
C, -88.53333333333333, 325
C, -85.5625, 350
